Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG.1,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
16.0,dom,2021-12-05,15:00,Spezia,2.5,2–2,1.5,Sassuolo,4.987,Stadio Alberto Picco,Fabio Maresca,Relatório da Partida,
16.0,dom,2021-12-05,18:00,Sampdoria,1.3,1–3,0.9,Lazio,5.883,Stadio Comunale Luigi Ferraris,Michael Fabbri,Relatório da Partida,
16.0,dom,2021-12-05,20:45,Juventus,2.7,2–0,0.0,Genoa,18.458,Allianz Stadium,Daniele Chiffi,Relatório da Partida,
16.0,seg,2021-12-06,18:30,Empoli,2.4,3–1,1.8,Udinese,4.808,Stadio Carlo Castellani,Daniele Paterna,Relatório da Partida,
16.0,seg,2021-12-06,20:45,Cagliari,1.2,1–1,1.9,Torino,8.799,Unipol Domus,Luca Massimi,Relatório da Partida,
,,,,,,,,,,,,,
17.0,sex,2021-12-10,20:45,Genoa,1.0,1–3,1.7,Sampdoria,,Stadio Comunale Luigi Ferraris,Daniele Doveri,Relatório da Partida,
17.0,sáb,2021-12-11,15:00,Fiorentina,2.2,4–0,0.8,Salernitana,18.579,Stadio Artemio Franchi,Davide Ghersini,Relatório da Partida,
17.0,sáb,2021-12-11,18:00,Venezia,0.4,1–1,1.9,Juventus,8.35,Stadio Pierluigi Penzo,Paolo Valeri,Relatório da Partida,
17.0,sáb,2021-12-11,20:45,Udinese,2.4,1–1,0.9,Milan,16.385,Dacia Arena,Francesco Fourneau,Relatório da Partida,
17.0,dom,2021-12-12,12:30,Torino,1.8,2–1,1.0,Bologna,6.562,Stadio Olimpico di Torino,Federico Dionisi,Relatório da Partida,
17.0,dom,2021-12-12,15:00,Hellas Verona,1.3,1–2,0.9,Atalanta,15.0,Stadio Marc'Antonio Bentegodi,Juan Sacchi,Relatório da Partida,
17.0,dom,2021-12-12,18:00,Sassuolo,1.0,2–1,0.4,Lazio,5.1,Mapei Stadium - Città del Tricolore,Simone Sozza,Relatório da Partida,
17.0,dom,2021-12-12,18:00,Napoli,1.8,0–1,0.7,Empoli,20.0,Stadio Diego Armando Maradona,Livio Marinelli,Relatório da Partida,
17.0,dom,2021-12-12,20:45,Inter,3.3,4–0,0.3,Cagliari,33.712,Stadio Giuseppe Meazza,Matteo Marchetti,Relatório da Partida,
17.0,seg,2021-12-13,20:45,Roma,2.2,2–0,0.6,Spezia,44.844,Stadio Olimpico,Alessandro Prontera,Relatório da Partida,
,,,,,,,,,,,,,
